;Sfd_id;Crop;Dir;%ChangedPixel;scale;n_synopsis
0;104841902;Soybeans;NormalFieldInArea ;79.51;3;1.0
1;104863690;Soybeans;NormalFieldInArea ;74.16;3;3.0
2;104853289;Soybeans;NormalFieldPlusModification ;92.88;5;2.0
3;104839746;Soybeans;NormalFieldPlusModification ;90.41;5;2.0
4;104840287;Soybeans;NormalFieldPlusModification ;74.34;3;2.0
5;104842707;Soybeans;NormalFieldPlusModification ;86.78999999999999;3;2.0
6;104842773;Soybeans;NormalFieldPlusModification ;88.45;5;1.0
7;104844520;Soybeans;NormalFieldPlusModification ;79.32;5;1.0
8;104844525;Soybeans;NormalFieldPlusModification ;86.46;5;1.0
9;104847477;Soybeans;NormalFieldPlusModification ;80.84;3;1.0
10;104847771;Soybeans;NormalFieldPlusModification ;71.73;3;1.0
11;104847979;Soybeans;NormalFieldPlusModification ;85.06;3;2.0
12;104847981;Soybeans;NormalFieldPlusModification ;77.08;5;2.0
13;104852525;Soybeans;Normal_field_PlusModification;89.43;3;2.0
14;104852541;Soybeans;Normal_field_PlusModification;80.21;3;1.0
15;104852581;Soybeans;Normal_field_PlusModification;78.97;3;2.0
16;104852600;Soybeans;Normal_field_PlusModification;88.08999999999999;5;2.0
17;104854398;Soybeans;Normal_field_PlusModification;88.38;5;2.0
18;104852621;Soybeans;Normal_field_PlusModification;80.04;3;2.0
19;104852682;Soybeans;Normal_field_PlusModification;83.35;5;1.0
20;104852707;Soybeans;Normal_field_PlusModification;84.22;3;1.0
21;104852746;Soybeans;Normal_field_PlusModification;86.38;3;1.0
22;104852856;Soybeans;Normal_field_PlusModification;79.88;5;1.0
23;104853656;Soybeans;Normal_field_PlusModification;94.49000000000001;5;2.0
24;104854382;Soybeans;Normal_field_PlusModification;85.38;5;2.0
25;104854528;Soybeans;Normal_field_PlusModification;80.44;3;1.0
26;104854566;Soybeans;Normal_field_PlusModification;87.05;3;2.0
27;104854572;Soybeans;Normal_field_PlusModification;87.62;5;1.0
28;104854573;Soybeans;Normal_field_PlusModification;95.41;3;2.0
29;104854713;Soybeans;Normal_field_PlusModification;83.56;5;1.0
